enemy_a,enemy_b,must_be_together_a,must_be_together_b,group_id,group_member_id,attendees_id,table_sizes
5,9,10,13,1,1,1,12
8,13,16,88,1,2,2,12
9,47,52,53,1,82,3,12
8,47,117,118,1,83,4,12
10,55,104,105,1,88,5,12
58,99,1,2,1,120,6,10
100,103,4,5,1,123,7,10
100,104,100,110,1,127,8,10
100,105,88,89,2,8,9,10
100,118,77,78,2,94,10,10
20,25,90,107,2,100,11,15
21,27,87,98,3,9,12,15
29,40,63,64,3,11,13,
30,41,65,68,3,13,14,
40,41,14,23,3,14,15,
66,68,15,28,3,15,16,
68,75,17,18,3,112,17,
100,127,19,21,3,122,18,
100,2,21,22,4,20,19,
100,138,2,4,4,21,20,
100,139,107,108,4,127,21,
2,138,139,140,4,128,22,
2,140,88,139,5,6,23,
138,140,88,140,5,13,24,
1,8,10,88,5,17,25,
1,5,8,44,5,18,26,
1,45,,,5,74,27,
1,98,,,5,85,28,
48,98,,,6,25,29,
45,48,,,6,26,30,
1,18,,,6,27,31,
7,17,,,6,28,32,
17,19,,,6,29,33,
,,,,6,30,34,
,,,,6,31,35,
,,,,6,65,36,
,,,,6,68,37,
,,,,6,91,38,
,,,,6,109,39,
,,,,7,30,40,
,,,,7,33,41,
,,,,7,36,42,
,,,,7,39,43,
,,,,7,41,44,
,,,,7,43,45,
,,,,7,49,46,
,,,,7,105,47,
,,,,7,128,48,
,,,,8,5,49,
,,,,8,53,50,
,,,,8,88,51,
,,,,8,89,52,
,,,,8,101,53,
,,,,8,107,54,
,,,,8,114,55,
,,,,8,129,56,
,,,,9,52,57,
,,,,9,53,58,
,,,,9,59,59,
,,,,9,63,60,
,,,,9,71,61,
,,,,9,85,62,
,,,,9,103,63,
,,,,9,128,64,
,,,,9,134,65,
,,,,9,137,66,
,,,,10,66,67,
,,,,10,67,68,
,,,,10,68,69,
,,,,10,81,70,
,,,,10,89,71,
,,,,10,108,72,
,,,,10,130,73,
,,,,10,139,74,
,,,,11,94,75,
,,,,11,95,76,
,,,,11,96,77,
,,,,11,97,78,
,,,,11,98,79,
,,,,11,99,80,
,,,,11,100,81,
,,,,11,101,82,
,,,,11,109,83,
,,,,11,113,84,
,,,,11,114,85,
,,,,11,124,86,
,,,,11,128,87,
,,,,12,17,88,
,,,,12,23,89,
,,,,12,24,90,
,,,,12,25,91,
,,,,12,36,92,
,,,,12,37,93,
,,,,12,39,94,
,,,,12,47,95,
,,,,12,85,96,
,,,,12,87,97,
,,,,12,92,98,
,,,,12,93,99,
,,,,12,114,100,
,,,,12,115,101,
,,,,12,118,102,
,,,,13,125,103,
,,,,13,129,104,
,,,,13,130,105,
,,,,13,131,106,
,,,,13,132,107,
,,,,13,133,108,
,,,,13,139,109,
,,,,13,140,110,
,,,,14,123,111,
,,,,14,127,112,
,,,,14,128,113,
,,,,14,129,114,
,,,,14,131,115,
,,,,14,133,116,
,,,,14,135,117,
,,,,15,128,118,
,,,,15,129,119,
,,,,15,134,120,
,,,,15,136,121,
,,,,15,137,122,
,,,,15,138,123,
,,,,15,140,124,
,,,,,,125,
,,,,,,126,
,,,,,,127,
,,,,,,128,
,,,,,,129,
,,,,,,130,
,,,,,,131,
,,,,,,132,
,,,,,,133,
,,,,,,134,
,,,,,,135,
,,,,,,136,
,,,,,,137,
,,,,,,138,
,,,,,,139,
,,,,,,140,
